YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
2000,101.35,101.19,100.81,100.35,100.19,99.94,99.83,100,100.34,100.69,101.19,101.37,100.6
2001,101.3,101.01,100.86,100.58,100.11,99.79,99.8,99.96,100.4,100.8,101.3,101.64,100.63
2002,101.46,101.46,100.9,100.54,100.04,99.98,99.88,99.99,100.46,100.93,101.22,101.46,100.69
2003,101.62,101.31,101,100.59,100.21,99.79,100.01,100.02,100.32,100.9,101.34,101.56,100.72
2004,101.47,101.29,100.83,100.48,100.12,100.05,100.01,99.89,100.39,101.12,101.4,101.48,100.71
2005,101.44,101.26,100.95,100.76,100.27,99.79,99.96,99.96,100.4,100.9,101.25,101.37,100.69
2006,101.42,101.16,100.89,100.51,100.3,100.06,99.78,99.97,100.42,101.04,101.29,101.52,100.69
2007,101.59,101.28,101,100.63,100.23,99.97,99.93,99.99,100.21,100.79,101.2,101.42,100.68
2008,101.36,101.31,100.82,100.56,100.13,99.89,99.9,100.07,100.36,100.9,101.24,101.38,100.66
2009,101.48,101.1,100.85,100.46,100.2,99.91,99.78,100.18,100.33,100.84,101.24,101.47,100.65
2010,101.6,101.28,100.85,100.5,100.22,100.03,100.14,100.27,100.43,100.64,101.12,101.16,100.68
2011,101.32,101.16,100.84,100.72,100.26,99.8,100,100.09,100.16,100.86,101.24,101.4,100.65
2012,101.39,101.12,100.84,100.52,100.17,99.69,99.8,100.02,100.37,100.98,101.17,101.34,100.62
2013,101.51,101.3,100.93,100.51,100.04,99.87,99.74,100.03,100.32,100.84,101.25,101.38,100.64
2014,101.62,101.21,101.07,100.61,100.32,99.81,99.8,100.08,100.38,101.03,101.2,101.47,100.72
2015,101.55,101.33,101.17,100.74,100.35,100.04,99.9,100.17,100.48,101.02,101.29,101.53,100.79
2016,101.51,101.33,101.01,100.4,100.28,100.15,100.04,99.98,100.36,100.7,101.2,101.39,100.69
2017,101.48,101.34,100.89,100.53,100.34,99.97,99.97,100.14,100.46,100.71,101.2,101.44,100.7
2018,101.33,101.28,100.89,100.68,100.39,99.91,99.75,99.86,100.47,101.04,101.32,101.5,100.7
2019,101.59,101.35,101.05,100.64,100.3,99.99,99.93,99.95,100.53,101.02,101.21,101.6,100.76
2020,101.54,101.53,101.09,100.81,100.4,100.13,100.15,99.89,100.34,100.6,101.34,101.42,100.77
2021,101.34,101.26,100.86,100.69,100.35,100.06,99.96,100.21,100.39,100.75,101.18,101.53,100.71
2000,7.57,9.64,10.07,16.6,19.96,21.3,21.06,21.24,20.39,17.58,12.51,7.63,15.44
2001,6.16,8.06,10.8,14.71,19.47,21.24,21.55,21.79,20.63,18.86,13.67,8.42,15.5
2002,9.16,8.61,11.6,16.05,18.01,21.48,21.73,21.24,20.39,16.48,12.57,8.67,15.5
2003,6.71,9.58,11.96,16.36,17.09,20.51,21.61,21.61,20.94,18.62,12.02,9.46,15.56
2004,8.36,8.24,11.29,16.42,17.82,20.81,21,21.48,20.57,16.66,11.66,10.01,15.38
2005,8.61,9.89,13.43,15.2,18.98,20.26,21.12,21.36,20.81,18.43,11.35,9.22,15.75
2006,7.39,9.77,10.44,15.56,18.74,21.3,21.67,21.24,20.57,17.58,12.94,9.22,15.56
2007,7.08,9.89,10.19,15.38,17.7,21.06,21.67,21.36,21,16.97,13.49,8.67,15.38
2008,8.42,8.79,12.76,15.2,18.43,21,21.55,21.3,20.32,16.91,12.82,10.62,15.69
2009,9.22,7.75,9.7,13.92,19.04,21.24,21.36,21.42,20.94,16.17,13.12,9.16,15.26
2010,6.84,8.42,11.6,16.3,20.02,21.61,21.12,20.81,20.45,18.13,14.22,9.22,15.75
2011,7.26,8,11.84,14.89,19.47,20.94,21,21.3,20.87,17.4,12.63,9.16,15.44
2012,9.09,8.3,9.89,16.3,18.37,20.51,20.94,21.24,20.57,15.81,11.41,8.06,15.08
2013,6.59,7.14,10.25,14.59,19.71,21.36,21.48,21.18,20.87,18.62,12.27,9.7,15.38
2014,8.18,9.46,11.29,13.18,17.58,21.91,21.91,21.61,20.45,16.91,10.99,7.63,15.14
2015,8.18,9.64,10.44,16.36,19.1,20.26,21.67,21.55,20.45,17.15,12.88,9.58,15.62
2016,7.93,11.23,13.79,15.75,18.07,20.63,21.06,21.3,20.75,17.52,12.39,9.52,15.81
2017,8.12,8.97,12.45,16.54,18.43,20.69,21.61,21.61,21.12,18.68,12.76,10.44,15.99
2018,6.96,9.64,11.6,16.24,18.43,20.75,21.61,21.61,20.57,15.87,12.51,8.12,15.32
2019,6.77,9.03,13.24,15.99,18.8,20.69,20.69,21.42,20.81,17.88,13.92,9.83,15.81
2020,8.73,9.03,12.45,14.89,18.74,21.48,21.67,22.16,21.36,19.53,12.94,9.34,16.05
2021,8.54,8,10.8,14.22,18.86,21.36,21.79,21.73,20.87,19.04,13.67,10.8,15.87
2000,62.25,63.56,49.94,64.88,78.56,86.19,87.19,89.06,89.56,83,73.69,64.44,74.38
2001,54.5,48,49.88,56.31,71.69,87.94,89.81,90.81,89.12,88.06,79.06,72.75,73.31
2002,70.75,56,53.88,62.12,62,84.81,87.81,90.12,90,81.06,80.06,69.12,74.06
2003,61.19,57.44,58.88,61.88,59.56,77.19,88.25,88.75,89.81,86.31,76.94,78.25,73.81
2004,70.44,58.06,52.31,63.38,61.25,81.19,86.69,89.94,90.81,84.94,75,75.75,74.19
2005,69.25,59,61,59.06,69.19,73.12,86.06,87.12,90.12,87.94,76.62,76.62,74.75
2006,62.44,57.75,48.19,59.12,70.19,84.62,88.56,89.69,90.06,82.75,79.31,73.44,73.94
2007,61.44,63.38,52.56,58.56,63,80.62,89.81,89.88,91.44,83.06,82.5,76.81,74.5
2008,72,64.81,61.31,62.81,66.94,85.75,90.31,90.06,89.94,82.56,78.62,76.62,76.88
2009,69.06,48.31,45.5,52.69,73.31,80,85.06,89.69,89.81,81.75,78.69,72,72.31
